regdate,last_name,first_name,email_address,homephone,street,city,state,zipcode
11/12/08 13:23,Hankins,Sarah,pinalevitsky@jumpstartlab.com,4145205000,2022 15th Street NW,Washington,DC,20009
12/11/08 11:56,Baimas-george,Katie,svsullivan88@jumpstartlab.com,6085169000,1123 Harvard St. unit R,Washington,DC,20009
12/19/08 13:15,Modawal,Sean,ufmPalley@jumpstartlab.com,2022327000,1718 Connecticut Ave. NW Suite 300,Washington,DC,20009
12/19/08 13:16,Murphy,Michael,bxthewsm@jumpstartlab.com,2022327000,1718 Connecticut Ave. NW Suite 300,Washington,DC,20009
1/12/09 2:55,Lade,Sophie,cpagenkn@jumpstartlab.com,3214804000,2505 13th St. NW,Washington,DC,20009
1/12/09 2:57,Leung,Lala,vsmcneal@jumpstartlab.com,5613391000,2505 13th St. NW,Washington,DC,20009
1/21/09 23:24,Broussard,Erin,buenevet@jumpstartlab.com,2022133000,"40 Rowland Ave., HWCC 412",Delaware,OH,20009
1/26/09 20:52,Doe,Julie,hcilson@jumpstartlab.com,2403937000,1620 Argonne Place N.W.,Washington,DC,20009
1/27/09 10:44,Ther,Mary,hobdul27@jumpstartlab.com,2024942000,1858 California St. NW #41,Washington,DC,20009
1/29/09 13:33,Deveau,Tamer,wgurns4@jumpstartlab.com,2029975000,1718 21st Street NW,Washington,DC,20009
1/30/09 10:37,England,Alison,wlutko@jumpstartlab.com,5084046000,1673 Columbia Rd. NW Apt. 400,Washington,DC,20009
1/31/09 13:14,Saretzky,Molly,vcsh7444@jumpstartlab.com,2023862000,"2022 15th Street, NW",Washington,DC,20009
