regdate,last_name,first_name,email_address,homephone,street,city,state,zipcode
12/2/08 23:19,Panek,Michael,dntisler@jumpstartlab.com,8013626000,1434 Wilson Ave.,Salt Lake City,UT,84105
1/17/09 14:21,Cebulski,Kate,orazrya1@jumpstartlab.com,8015505000,1033 Barbara Pl Apt 2,Salt Lake City,UT,84102
1/21/09 22:00,Engel,Megan,bgc64@jumpstartlab.com,8015505000,219 Elizabeth St.,Salt Lake City,UT,84102
1/21/09 22:03,Gilbert,Kristen,tpollins6@jumpstartlab.com,8015505000,1343 Ashwood Circle,Salt Lake City,UT,84121
1/21/09 22:07,Myett,Student,wjang@jumpstartlab.com,8015505000,834 E. Pond View Way,Salt lake city,UT,84106
1/21/09 22:09,Xx,Adrienne,rrthleen.oflaherty@jumpstartlab.com,8015505000,1213 Medical Plaza,Salt Lake City,UT,84121
1/21/09 22:11,Ludmer,Eileen,mhulger@jumpstartlab.com,8015505000,723 11th Avenue,Salt Lake City,UT,84103
1/21/09 22:13,Boozel,Alex,jyhiang@jumpstartlab.com,8015505000,220 A Street,Salt Lake City,UT,84103
1/21/09 22:15,Berkley,Susan,ceebst.4@jumpstartlab.com,8015505000,1033 Barbara Pl,Salt Lake City,UT,84102
1/21/09 22:17,Kopkin,Emma,sxcoffey@jumpstartlab.com,8015505000,1033 Barbara Pl,Salt Lake City,UT,84102
1/21/09 22:19,Armacost,Kate,hgle.Saud@jumpstartlab.com,8015505000,1033 Barbara Pl,Salt Lake City,UT,84102
2/1/09 17:14,Woolworth,Lindsey,eoeal@jumpstartlab.com,8013594000,350 south 200 east #406,salt lake city,UT,84111
2/1/09 22:00,Wynn,Rich,vkrenzo.serna@jumpstartlab.com,8015505000,2887 Wainwright Road,Salt Lake City,UT,84109
